Index       TIME              V(IN)            V(IN1)            V(OUT)            V(VDD)            V(GATE)           V(OUT)            I(V_IN)          I(V_VDD)          I(R_LOAD)    
109      3.57596146e-10   -8.00000000e-01   -7.99999744e-01    5.53513365e-02    1.00000000e+00    0.00000000e+00    5.53513365e-02    2.55853086e-10   -1.00000000e-03    5.53513365e-05
110      3.67596146e-10   -8.00000000e-01   -7.99999744e-01    5.54692753e-02    1.00000000e+00    0.00000000e+00    5.54692753e-02    2.56161772e-10   -1.00000000e-03    5.54692753e-05
111      3.77596146e-10   -8.00000000e-01   -7.99999744e-01    5.55657707e-02    1.00000000e+00    0.00000000e+00    5.55657707e-02    2.55872887e-10   -1.00000000e-03    5.55657707e-05
112      3.87596146e-10   -8.00000000e-01   -7.99999744e-01    5.56447215e-02    1.00000000e+00    0.00000000e+00    5.56447215e-02    2.56146087e-10   -1.00000000e-03    5.56447215e-05
113      3.97596146e-10   -8.00000000e-01   -7.99999744e-01    5.57093176e-02    1.00000000e+00    0.00000000e+00    5.57093176e-02    2.55890581e-10   -1.00000000e-03    5.57093176e-05
114      4.07596146e-10   -8.00000000e-01   -7.99999744e-01    5.57621689e-02    1.00000000e+00    0.00000000e+00    5.57621689e-02    2.56132385e-10   -1.00000000e-03    5.57621689e-05
115      4.17596146e-10   -8.00000000e-01   -7.99999744e-01    5.58054109e-02    1.00000000e+00    0.00000000e+00    5.58054109e-02    2.55906411e-10   -1.00000000e-03    5.58054109e-05
116      4.27596146e-10   -8.00000000e-01   -7.99999744e-01    5.58407908e-02    1.00000000e+00    0.00000000e+00    5.58407908e-02    2.56120437e-10   -1.00000000e-03    5.58407908e-05
117      4.37596146e-10   -8.00000000e-01   -7.99999744e-01    5.58697379e-02    1.00000000e+00    0.00000000e+00    5.58697379e-02    2.55920591e-10   -1.00000000e-03    5.58697379e-05
118      4.47596146e-10   -8.00000000e-01   -7.99999744e-01    5.58934219e-02    1.00000000e+00    0.00000000e+00    5.58934219e-02    2.56110040e-10   -1.00000000e-03    5.58934219e-05
119      4.57596146e-10   -8.00000000e-01   -7.99999744e-01    5.59127998e-02    1.00000000e+00    0.00000000e+00    5.59127998e-02    2.55933312e-10   -1.00000000e-03    5.59127998e-05
120      4.67596146e-10   -8.00000000e-01   -7.99999744e-01    5.59286543e-02    1.00000000e+00    0.00000000e+00    5.59286543e-02    2.56101016e-10   -1.00000000e-03    5.59286543e-05
121      4.77596146e-10   -8.00000000e-01   -7.99999744e-01    5.59416263e-02    1.00000000e+00    0.00000000e+00    5.59416263e-02    2.55944741e-10   -1.00000000e-03    5.59416263e-05
122      4.87596146e-10   -8.00000000e-01   -7.99999744e-01    5.59522397e-02    1.00000000e+00    0.00000000e+00    5.59522397e-02    2.56093207e-10   -1.00000000e-03    5.59522397e-05
123      4.97596146e-10   -8.00000000e-01   -7.99999744e-01    5.59609234e-02    1.00000000e+00    0.00000000e+00    5.59609234e-02    2.55955028e-10   -1.00000000e-03    5.59609234e-05
124      5.07596146e-10   -8.00000000e-01   -7.99999744e-01    5.59680282e-02    1.00000000e+00    0.00000000e+00    5.59680282e-02    2.56086472e-10   -1.00000000e-03    5.59680282e-05
125      5.17596146e-10   -8.00000000e-01   -7.99999744e-01    5.59738413e-02    1.00000000e+00    0.00000000e+00    5.59738413e-02    2.55964304e-10   -1.00000000e-03    5.59738413e-05
126      5.27596146e-10   -8.00000000e-01   -7.99999744e-01    5.59785974e-02    1.00000000e+00    0.00000000e+00    5.59785974e-02    2.56080688e-10   -1.00000000e-03    5.59785974e-05
